company,comment,label
字节,别的不说，这公司的待遇可是一流的,1
字节,办公环境一流，但加班厉害,0
字节,每天都在赶deadline，身心疲惫,0
字节,这里的员工都很优秀，能学到很多东西,1
字节,我觉得我在这里成长了很多,1
字节,经常拖欠工资，对此我只能无语,0
字节,给的奖金特别多，明年还要来,1
字节,上级的决策总是模糊不清,0
字节,我非常喜欢这家公司，会继续在这里工作的,1
字节,经常被老板骂，人累心也累,0
字节,每个月的团建活动特别有意思,1
字节,别的部门不知道，我们部门经常加班到深夜,0
字节,福利待遇都挺好，但工作压力大,0
字节,这里的工作环境很好，同事们都相处和谐,1
字节,这儿的晋升机会还比较多，赶紧抓住机会,1
字节,实习生的待遇相当不错，很满意,1
字节,工资卡里的工资经常迟到，真是让人担心,0
字节,员工福利丰富，公司生态好,1
字节,加班严重，早上九点晚上九点根本走不了,0
字节,在这里认识了很多贵人，人脉扩大了很多,1
阿里,真的很喜欢这里，氛围很好,1
阿里,薪酬优厚，不过压力也挺大的,0
阿里,曾经的梦想公司，现在终于进来了,1
阿里,产品线丰富，学到了不少东西,1
阿里,加班有点多，感觉要崩溃了,0
阿里,团队氛围棒极了，福利也不错,1
阿里,感觉对技术挺看重的，值得期待,1
阿里,感觉竞争压力很大，有时候承受不住,0
阿里,很幸运加入这个公司，感受到了成长,1
阿里,听说996挺严重的，还在观望,0
阿里,入职后才发现自己的不足，需要努力,1
阿里,对新员工不够友好，感觉有点寒酸,0
阿里,与优秀的同事共事，学到了很多,1
阿里,感觉晋升渠道有些狭窄，机会不多,0
阿里,离家很近，上下班特别方便,1
阿里,噪音较大，总被打扰，无法专心工作,0
阿里,食堂的菜很好吃，让人心情舒畅,1
阿里,项目繁重，感觉有点吃不消,0
阿里,领导很有才干，能学到很多东西,1
阿里,需要搬家，有点考虑离职,0
腾讯,腾讯的工作环境真的超级好,1
腾讯,"薪资待遇一般般吧,没有想象中的那么好",0
腾讯,这个公司的福利真是太棒了！,1
腾讯,工作压力有点大,0
腾讯,我很喜欢这里的工作氛围,1
腾讯,这个公司的发展前景非常好,1
腾讯,管理层的决策让人有些疑惑,0
腾讯,员工福利待遇非常丰富，很喜欢,1
腾讯,腾讯的产品真的很好用,1
腾讯,公司的视野很开阔，很有可能成为行业领导者,1
腾讯,公司领导不怎么靠谱，决策总是让人捉摸不透,0
腾讯,公司的工资不如阿里巴巴高,0
腾讯,我很看好这个公司的发展前景,1
腾讯,如果工资能再高一点就好了,0
腾讯,这是我见过的最好的视频游戏公司之一,1
腾讯,我觉得这个公司的产品设计有待提高,0
腾讯,在这个公司工作真的很有意义,1
腾讯,公司的职业发展路径不是很清晰,0
腾讯,腾讯的工作人工智能技术非常先进,1
腾讯,我觉得腾讯的公司战略有待调整,0
腾讯,腾讯的工作压力确实有点大,0
腾讯,腾讯公司在创新方面还是挺不错的,1
腾讯,腾讯的文化太过保守,0
腾讯,腾讯发展前景一片光明,1
腾讯,加班好多啊，快被逼疯了,0
腾讯,腾讯的福利待遇还是比较给力的,1
腾讯,同事之间竞争太激烈了,0
腾讯,腾讯的产品在市场上非常畅销,1
腾讯,有时候觉得腾讯领导太严厉了,0
腾讯,在腾讯学到了很多新知识,1
腾讯,腾讯公司有些部门存在内耗现象,0
腾讯,腾讯员工安全感较高,1
腾讯,腾讯的论坛确实有点二,0
腾讯,腾讯有很多高质量的项目,1
腾讯,公司氛围太压抑了,0
腾讯,腾讯公司给的发展空间还不错,1
